Origin,Dest,flight_count,avg_distance,avg_air_time,avg_dep_delay,avg_arr_delay
ABE,ATL,5327,1113.66,90.3,16.37,10.97
ABE,AVP,3,80.47,17.0,8.0,13.67
ABE,AZO,1,862.61,,241.0,
ABE,BWI,1,194.73,24.0,80.0,61.0
ABE,CLE,5055,545.57,59.07,-3.94,-2.6
ABE,CLT,1667,774.09,78.55,-1.99,-3.35
ABE,CVG,4395,809.5,80.29,4.38,-0.05
ABE,DTW,2957,682.36,76.93,2.63,3.3
ABE,FWA,2,822.37,,211.5,
ABE,GRR,1,873.87,,45.0,
ABE,HPN,1,152.89,40.0,-4.0,0.0
ABE,IAD,2075,257.49,43.95,2.16,-1.24
ABE,JFK,7,140.01,39.71,32.86,35.29
ABE,LGA,5,131.97,34.0,33.4,56.2
ABE,ORD,4582,1052.51,107.11,15.3,10.16
ABE,PHL,524,88.51,23.03,11.46,13.38
ABE,PIT,7,407.16,48.29,-1.43,-2.43
ABE,SBN,1,918.93,,250.0,
ABI,CLL,3,374.98,,46.33,
ABI,DFW,12407,254.28,37.58,3.9,3.28
ABI,IAH,1632,494.07,112.2,5.71,-1.41
ABI,LAX,1,1752.57,144.0,0.0,2.0
ABI,SJT,2,140.01,,,
ABI,TYR,1,402.34,,0.0,
ABI,VCT,1,474.76,,8.0,
ABQ,AMA,3351,445.79,41.49,9.55,7.55
ABQ,ATL,5758,2042.25,154.41,3.96,1.95
ABQ,AUS,415,996.18,84.24,1.16,-8.31
ABQ,BWI,1826,2687.6,197.02,4.39,-4.96
ABQ,CLE,38,2270.78,177.87,-2.37,0.39
ABQ,COS,1,450.62,,-5.0,
ABQ,CVG,3293,1995.58,149.71,3.06,0.56
ABQ,DAL,10994,933.42,79.44,9.06,4.42
ABQ,DEN,13369,561.66,58.12,4.22,3.43
ABQ,DFW,15982,915.71,86.19,4.46,3.77
ABQ,ELP,5472,358.88,37.89,8.57,5.9
ABQ,EWR,475,2904.86,218.64,11.95,-0.66
ABQ,GJT,7,482.8,,52.71,
ABQ,HOU,4235,1221.49,100.69,8.79,3.57
ABQ,IAD,482,2620.01,194.37,6.82,8.81
ABQ,IAH,10185,1197.35,102.85,2.38,3.19
ABQ,IDA,1,1050.9,,3.0,
ABQ,LAS,11139,783.75,74.46,8.93,5.27
ABQ,LAX,11357,1089.52,98.59,6.86,0.53
ABQ,LBB,2413,465.1,42.46,8.33,5.95
ABQ,MAF,1826,534.3,46.8,10.14,7.3
ABQ,MCI,4601,1155.51,92.77,9.28,3.66
ABQ,MCO,3643,2497.7,184.17,6.77,-0.29
ABQ,MDW,2768,1804.07,139.18,6.63,-0.1
ABQ,MSP,3608,1578.76,128.97,3.63,2.61
ABQ,OAK,4259,1430.7,128.7,8.3,1.48
ABQ,OKC,428,820.76,71.58,8.59,3.01
ABQ,ONT,686,1015.49,87.92,1.44,-6.84
ABQ,ORD,4474,1799.24,140.0,10.99,11.22
ABQ,PDX,1838,1787.98,152.62,7.48,0.04
ABQ,PHX,29073,527.86,56.42,7.51,4.44
ABQ,PIH,2,1015.49,,0.0,
ABQ,PSP,1,918.93,,-5.0,
ABQ,SAN,6065,1010.67,92.26,8.04,0.91
ABQ,SAT,407,980.09,81.42,0.4,-9.78
ABQ,SEA,2034,1899.02,164.83,6.1,-4.71
ABQ,SFO,1942,1441.97,130.34,13.73,12.87
ABQ,SLC,11604,793.4,102.63,5.01,3.42
ABQ,SMF,451,1393.69,134.2,2.93,1.59
ABQ,STL,2780,1503.12,117.6,8.1,3.47
ABQ,TPA,1825,2409.18,176.76,7.08,-0.44
ABQ,TUL,434,978.48,83.94,3.82,-5.12
ABQ,TUS,3579,516.6,51.49,10.44,7.4
ABQ,TWF,1,1071.82,,48.0,
ABY,ATL,6938,234.96,33.81,9.72,8.31
ABY,MCN,1,138.4,18.0,-2.0,0.0
ABY,VLD,1,120.7,26.0,0.0,0.0
ACK,EWR,1064,350.84,58.54,23.7,30.88
ACK,JFK,147,320.26,45.91,55.09,29.02
ACT,CLL,4,140.01,,-5.5,
ACT,DFW,11760,143.23,30.15,0.96,0.04
ACT,IAH,2245,255.89,58.43,4.79,-1.14
ACT,ILE,1,72.42,21.0,110.0,81.0
ACT,SJT,1,312.21,61.0,204.0,189.0
ACT,TYR,1,191.51,38.0,155.0,148.0
ACV,CEC,2878,90.12,17.0,3.77,0.45
ACV,CIC,2,231.74,,31.0,
ACV,MFR,4,186.68,30.75,144.75,115.5
ACV,MRY,5,526.25,,18.4,
ACV,RDD,3,162.54,26.0,64.0,176.0
ACV,SFO,13619,402.33,88.2,12.81,11.64
ACV,SMF,3195,333.13,48.15,3.72,2.09
ACY,ATL,874,1091.13,110.19,22.28,23.03
ACY,BOS,136,440.96,50.13,1.14,-13.69
ACY,BWI,1,183.46,27.0,0.0,-8.0
ACY,CVG,2579,872.26,87.83,1.6,-2.55
ACY,JFK,4,148.06,34.0,70.0,89.5
ACY,LGA,20,159.32,36.65,54.65,58.05
ACY,MCO,150,1371.16,129.34,8.4,5.48
ACY,MYR,1,749.95,68.0,222.0,252.0
ADK,AKN,425,1470.94,118.56,29.96,23.73
ADK,ANC,62,1918.33,150.81,-11.62,-29.55
ADQ,ANC,3411,405.55,41.18,10.43,10.25
AEX,ABI,1,685.58,131.0,0.0,70.0
AEX,ATL,4263,804.67,68.52,15.66,15.45
AEX,AUS,1,505.33,90.0,-5.0,40.0
AEX,BTR,2,159.32,21.0,0.0,-3.0
AEX,DFW,3069,458.66,59.94,7.26,3.97
AEX,GTR,427,440.96,55.78,7.45,-1.89
AEX,HOU,1,321.87,42.0,0.0,0.0
AEX,IAH,7144,305.77,37.72,0.99,4.45
AEX,ILE,1,490.85,98.0,-5.0,11.0
AEX,JAN,2,257.49,30.5,0.0,0.0
AEX,LFT,1,135.18,31.0,0.0,0.0
AEX,MLU,1,140.01,25.0,2.0,0.0
AEX,MSY,1,265.54,30.0,0.0,0.0
AEX,SHV,1,173.81,117.0,11.0,2.0
AGS,ATL,13658,230.14,37.56,12.7,10.11
AGS,CAE,1,101.39,18.0,-1.0,-13.0
AGS,CHA,1,350.84,76.0,0.0,23.0
AGS,CHS,1,186.68,25.0,0.0,0.0
AGS,CLE,7,893.18,80.43,-8.57,-12.71
AGS,CLT,64,225.31,32.92,12.09,12.73
AGS,CVG,2,675.92,69.5,-10.0,-20.5
AGS,EWR,1068,1066.99,99.06,19.48,24.83
AGS,IAH,924,1321.27,124.72,5.19,-1.66
AGS,JFK,1,1086.3,92.0,24.0,14.0
AGS,LGA,14,1091.13,92.71,17.21,6.0
AGS,SAV,1,154.5,21.0,-4.0,-12.0
AKN,ADK,425,1470.94,131.92,14.69,11.07
AKN,ANC,1022,465.1,43.89,17.33,17.53
AKN,DLG,268,114.26,18.23,12.64,7.82
ALB,ATL,7481,1371.16,130.73,11.3,8.25
ALB,BDL,1,128.75,36.0,90.0,85.0
ALB,BOS,2,233.35,39.0,25.0,27.0
ALB,BTV,1,199.56,,,
ALB,BWI,12001,463.49,56.79,9.71,7.06
ALB,CLE,5921,682.36,74.45,10.79,11.99
ALB,CLT,3683,1039.63,106.68,6.8,5.82
ALB,CVG,4898,1002.62,103.52,2.75,0.23
ALB,DCA,2091,511.77,62.67,8.92,10.08
ALB,DTW,6368,785.36,80.76,3.65,4.43
ALB,EWR,6487,230.14,36.98,10.05,14.57
ALB,GRR,1,957.56,,19.0,
ALB,IAD,4599,523.04,67.0,6.12,5.53
ALB,ISP,1,223.7,38.0,0.0,0.0
ALB,JFK,329,233.35,42.25,5.55,12.72
ALB,LAS,1826,3600.09,303.26,4.8,-9.15
ALB,LGA,3,218.87,35.5,53.33,87.0
ALB,MCO,4868,1726.82,154.79,5.52,-3.43
ALB,MDW,1815,1153.9,112.68,7.55,-0.62
ALB,MKE,1,1150.68,,46.0,
ALB,MSP,358,1575.54,149.57,12.32,10.76
ALB,ORD,12700,1163.55,114.45,12.07,10.73
ALB,PHL,5046,341.18,50.96,4.47,5.37
ALB,PIT,2241,590.63,62.39,-0.73,-1.41
ALB,SBN,1,1038.02,,36.0,
ALB,TPA,443,1818.55,163.8,8.01,-5.45
ALO,MSP,300,267.15,35.66,16.05,14.41
AMA,ABQ,3359,445.79,44.99,6.15,3.27
AMA,COS,1,477.97,304.0,85.0,87.0
AMA,DAL,13233,521.43,50.16,6.54,5.23
AMA,DEN,116,576.14,57.57,12.94,9.95
AMA,DFW,15796,503.72,48.63,5.69,4.76
AMA,IAH,6490,835.25,78.3,4.67,7.14
AMA,LAS,1826,1219.88,110.14,5.34,-0.19
AMA,PHX,1,967.21,87.0,11.0,9.0
ANC,ADK,62,1918.33,172.29,4.22,6.84
ANC,ADQ,3315,405.55,43.12,6.42,6.46
ANC,AKN,1295,465.1,46.27,13.62,9.17
ANC,ATL,524,5499.11,391.52,12.69,10.55
ANC,BET,5641,642.13,59.92,9.1,7.81
ANC,CDV,1814,257.49,32.75,15.61,14.43
ANC,CVG,164,5005.05,358.82,7.28,3.24
ANC,DEN,2657,3872.07,281.86,6.48,2.4
ANC,DFW,579,4897.22,350.89,20.54,18.53
ANC,DLG,895,529.47,51.53,14.11,11.67
ANC,DTW,513,4805.49,340.99,1.01,-3.42
ANC,DUT,744,1274.6,112.4,13.98,11.98
ANC,EWR,84,5423.48,380.55,-4.13,-1.83
ANC,FAI,17815,420.04,40.63,7.36,6.61
ANC,HNL,35,4469.14,294.57,4.06,-9.31
ANC,IAH,912,5256.1,379.55,16.43,15.55
ANC,JNU,5927,918.93,82.14,12.32,11.06
ANC,KOA,15,4625.24,340.0,18.36,15.93
ANC,LAS,840,3707.92,281.75,13.01,9.13
ANC,LAX,1618,3773.9,288.4,2.39,2.41
ANC,MSP,4770,4052.32,291.66,5.56,3.53
ANC,OGG,195,4501.32,339.79,11.49,16.09
ANC,OME,1879,867.43,76.7,6.65,4.65
ANC,ORD,3342,4580.18,330.28,11.57,7.86
ANC,OTZ,3930,883.53,77.25,11.86,10.2
ANC,PDX,2816,2481.6,196.14,8.05,6.57
ANC,PHX,1329,4105.43,303.41,12.49,6.61
ANC,SCC,1763,1007.45,86.31,10.6,9.41
ANC,SEA,32643,2331.93,180.87,8.01,6.5
ANC,SFO,612,3247.65,255.33,11.25,8.97
ANC,SLC,3230,3419.85,249.57,2.73,2.62
ANC,STL,93,4725.02,330.73,12.2,1.49
APF,ATL,2528,869.04,85.7,11.18,8.85
ASE,DEN,6797,201.17,33.8,9.76,7.88
ASE,LAX,335,1186.08,104.95,20.32,22.77
ASE,ORD,288,1630.26,132.63,50.56,60.94
ASE,PHX,450,790.19,114.61,18.94,16.96
ASE,SFO,108,1364.72,118.08,41.44,33.51
ASE,SLC,1060,468.32,52.24,11.37,13.53
ATL,ABE,5257,1113.66,77.15,19.73,16.81
ATL,ABQ,5753,2042.25,173.15,10.82,9.42
ATL,ABY,6873,234.96,11.85,11.3,9.41
ATL,ACY,875,1091.13,46.98,24.81,21.2
ATL,AEX,4254,804.67,69.33,17.55,14.88
ATL,AGS,13444,230.14,11.01,16.11,14.23
ATL,ALB,7558,1371.16,87.2,16.79,15.16
ATL,ANC,524,5499.11,421.83,17.44,18.89
ATL,APF,2418,869.04,66.27,14.71,11.63
ATL,ATW,3840,1231.15,93.83,19.08,16.57
ATL,AUS,11305,1308.39,115.98,11.85,9.85
ATL,AVL,10865,263.93,0.17,15.02,12.95
ATL,AVP,4080,1149.07,51.81,17.99,16.26
ATL,AZO,718,959.17,50.81,17.56,11.31
ATL,BDL,12393,1382.42,112.83,9.19,8.21
ATL,BGM,620,1205.4,92.81,17.56,8.56
ATL,BGR,685,1824.99,135.2,27.28,23.47
ATL,BHM,14499,215.65,27.84,9.78,9.2
ATL,BMI,6705,857.78,77.76,15.48,13.63
ATL,BNA,13246,344.4,32.03,10.48,10.5
ATL,BOI,588,2957.97,240.51,13.49,15.73
ATL,BOS,28919,1522.44,122.26,11.24,9.97
ATL,BPT,301,996.18,66.29,10.93,3.45
ATL,BQK,6141,383.02,22.16,13.07,11.65
ATL,BQN,122,2402.74,178.78,21.67,12.93
ATL,BTR,11202,722.59,58.23,18.13,15.53
ATL,BTV,1333,1544.97,118.59,24.07,19.43
ATL,BUF,16962,1145.85,90.1,13.85,11.17
ATL,BUR,422,3123.73,258.22,20.75,28.54
ATL,BWI,31534,926.98,80.06,11.86,11.15
ATL,BZN,105,2640.93,220.71,10.72,-2.59
ATL,CAE,13436,307.38,-57.17,14.4,13.48
ATL,CAK,16412,849.73,72.93,14.18,10.43
ATL,CBM,1,373.37,84.0,-3.0,0.0
ATL,CHA,10917,170.59,1.25,14.28,12.51
ATL,CHO,4875,735.47,18.14,11.74,9.55
ATL,CHS,15883,416.82,8.84,9.83,9.36
ATL,CID,694,1116.88,92.12,27.38,25.69
ATL,CLE,18286,891.57,73.75,11.69,11.24
ATL,CLT,25422,365.32,41.86,9.22,9.82
ATL,CMH,10272,717.77,65.82,8.47,7.8
ATL,CMI,228,788.58,63.93,18.77,13.2
ATL,COS,3204,1907.07,160.59,8.88,8.27
ATL,CRP,3738,1409.78,112.03,15.09,12.99
ATL,CRW,8489,584.19,37.05,14.36,12.0
ATL,CSG,8861,133.58,9.5,12.59,10.58
ATL,CVG,15167,600.28,55.13,9.94,9.42
ATL,DAB,12406,589.02,28.56,13.14,11.65
ATL,DAL,429,1160.33,89.21,16.51,17.64
ATL,DAY,19265,695.23,63.68,11.83,11.12
ATL,DCA,33795,880.31,72.93,9.46,9.69
ATL,DEN,28674,1929.6,168.05,10.15,8.46
ATL,DFW,52470,1178.04,92.47,11.11,10.08
ATL,DHN,9186,275.2,22.99,15.5,13.82
ATL,DSM,4888,1195.74,93.98,19.4,16.15
ATL,DTW,28886,955.95,83.22,10.38,9.9
ATL,EGE,538,2111.45,189.9,6.77,7.12
ATL,ELP,2991,2063.17,174.79,12.21,9.48
ATL,ERI,722,1007.45,84.11,18.52,12.07
ATL,EVV,6573,563.27,47.55,14.49,12.0
ATL,EWN,601,696.84,60.46,22.65,14.87
ATL,EWR,42008,1198.96,104.59,18.07,18.88
ATL,EYW,4679,1039.63,83.07,16.32,12.85
