IATA,lat,lon,flight_count,origin_flight_count,dest_flight_count,avg_flight_time,avg_actual_elapsed_time,avg_scheduled_elapsed_time,avg_air_time,avg_distance,avg_dep_delay,avg_arr_delay,cancelled_origin_count,diverted_origin_count,unique_destinations,unique_origins,unique_connections
ORD,41.979595,-87.90446417,61947,30973,30974,134.85,134.85,134.46,106.47,1243.57,14.36,10.97,1454,76,108,107,215
DFW,32.89595056,-97.0372,55306,27642,27664,134.69,134.69,135.73,107.87,1246.86,10.43,5.79,806,78,111,112,223
ATL,33.64044444,-84.42694444,44457,22236,22221,121.37,121.37,123.45,95.45,1107.75,8.14,4.34,560,56,96,96,192
LAX,33.94253611,-118.4080744,41286,20636,20650,153.97,153.97,155.99,131.7,1651.11,6.56,6.26,412,28,64,63,127
PHX,33.43416667,-112.0080556,32309,16154,16155,132.77,132.77,135.14,112.38,1371.1,8.59,4.61,244,27,66,66,132
STL,38.74768694,-90.35998972,28677,14337,14340,120.38,120.38,121.85,96.85,1105.99,6.3,2.3,189,55,72,72,144
DTW,42.21205889,-83.34883583,26847,13423,13424,118.76,118.76,119.59,92.11,1021.04,8.62,4.19,243,40,77,77,154
MSP,44.88054694,-93.2169225,26061,13024,13037,139.14,139.14,139.83,111.77,1319.48,7.19,2.4,198,43,83,83,166
BOS,42.3643475,-71.00517917,24727,12361,12366,148.74,148.74,151.57,120.43,1292.24,11.61,6.5,720,25,48,49,97
DEN,39.85840806,-104.6670019,24459,12231,12228,140.56,140.56,140.99,118.33,1466.08,11.7,6.65,187,32,58,58,116
LAS,36.08036111,-115.1523333,24061,12030,12031,128.67,128.67,130.94,108.0,1331.3,9.75,6.14,117,23,64,64,128
CLT,35.21401111,-80.94312583,23160,11580,11580,105.38,105.38,105.67,81.42,873.11,7.4,5.38,218,19,70,69,139
SFO,37.61900194,-122.3748433,22740,11371,11369,181.36,181.36,182.8,156.4,2052.75,8.02,9.36,297,29,46,46,92
IAH,29.98047222,-95.33972222,22697,11348,11349,151.77,151.77,150.39,124.54,1507.2,9.14,8.01,151,26,73,72,145
EWR,40.69249722,-74.16866056,22308,11157,11151,189.67,189.67,188.89,150.05,1745.0,12.65,16.11,425,30,63,64,127
LGA,40.77724306,-73.87260917,21062,10530,10532,136.62,136.62,142.08,99.55,1088.69,13.26,15.67,694,39,42,42,84
PHL,39.87195278,-75.24114083,20941,10470,10471,147.31,147.31,146.91,114.77,1278.76,11.95,13.3,430,23,57,57,114
SEA,47.44898194,-122.3093131,19968,9983,9985,173.62,173.62,175.75,151.24,1917.17,12.59,13.45,116,29,47,47,94
PIT,40.49146583,-80.23287083,18606,9299,9307,111.04,111.04,110.93,88.2,958.16,8.96,7.18,186,18,67,67,134
BWI,39.17540167,-76.66819833,17684,8843,8841,119.52,119.52,122.14,100.67,1112.49,11.74,9.44,115,23,51,51,102
MCO,28.42888889,-81.31602778,17519,8761,8758,144.87,144.87,147.2,123.42,1416.77,8.39,5.25,119,37,54,54,108
DCA,38.85208333,-77.03772222,16146,8075,8071,108.18,108.18,109.86,83.51,872.52,4.82,3.8,392,18,41,41,82
SAN,32.73355611,-117.1896567,14721,7363,7358,130.25,130.25,130.28,109.81,1330.58,7.17,7.81,103,20,34,34,68
SLC,40.78838778,-111.9777731,13085,6541,6544,132.87,132.87,135.21,109.93,1345.85,7.27,3.77,64,24,47,48,95
SJC,37.36186194,-121.9290089,13040,6520,6520,135.99,135.99,137.29,114.44,1385.41,7.38,6.68,120,15,30,30,60
MIA,25.79325,-80.29055556,12951,6477,6474,158.62,158.62,160.01,131.78,1518.84,9.83,3.12,133,35,40,41,81
