Origin,Dest,flight_count,cancelled_count,cancellation_rate,avg_distance,avg_air_time,avg_dep_delay,avg_arr_delay
ABE,ATL,60,6,0.1,1113.6633,99.1111,5.5185,-1.2778
ABE,CLT,29,4,0.1379,774.0925,76.24,-2.56,-1.28
ABE,DTW,40,15,0.375,682.3602,70.88,49.44,39.8
ABE,MCO,39,10,0.2564,1458.062,130.8276,1.8966,-1.8621
ABE,MDT,40,4,0.1,123.9192,20.0278,1.5,0.4444
ABE,ORD,103,35,0.3398,1052.5084,100.8955,0.3235,-2.806
ABE,PIT,114,25,0.2193,407.163,48.427,-2.1461,-1.3371
ABI,DFW,202,38,0.1881,254.2757,40.1829,-1.1341,-6.6707
ABQ,AMA,56,7,0.125,445.7872,40.8776,3.2653,-1.1633
ABQ,ATL,59,12,0.2034,2042.2525,149.8043,11.234,8.3696
ABQ,BWI,30,3,0.1,2687.5978,204.1111,12.0741,-16.1481
ABQ,CVG,60,6,0.1,1995.5816,149.5185,1.5,0.5556
ABQ,DAL,202,26,0.1287,933.4172,79.8466,4.1932,-0.4091
ABQ,DEN,178,64,0.3596,561.6597,53.5263,-0.1491,-1.6404
ABQ,DFW,200,38,0.19,915.7145,76.6111,4.5556,3.3086
ABQ,ELP,108,12,0.1111,358.8828,37.0417,4.2292,1.5208
ABQ,HOU,60,7,0.1167,1221.4891,101.5849,4.1887,2.1698
ABQ,IAH,146,24,0.1644,1197.349,102.3554,-4.6967,-5.1901
ABQ,LAS,168,19,0.1131,783.7486,70.5772,3.1208,-0.6644
ABQ,LAX,202,23,0.1139,1089.5232,95.8547,3.5028,-8.6313
ABQ,LBB,60,7,0.1167,465.0993,42.0755,5.9434,2.1698
ABQ,MAF,30,4,0.1333,534.3009,47.0385,3.8462,-0.0769
ABQ,MCI,86,9,0.1047,1155.5061,94.0909,9.1948,3.9351
ABQ,MCO,60,6,0.1,2497.6957,184.037,2.0,-8.7222
ABQ,MDW,30,4,0.1333,1804.0701,139.0,3.0385,-17.2308
ABQ,MSP,60,7,0.1167,1578.7625,131.6604,-2.8491,-3.4151
ABQ,OAK,56,7,0.125,1430.7033,126.0408,1.0204,-6.7347
ABQ,ORD,83,8,0.0964,1799.2421,140.4459,4.5733,3.1486
ABQ,PDX,30,4,0.1333,1787.9767,149.9231,0.5769,-23.6538
ABQ,PHX,568,67,0.118,527.8635,57.2834,3.99,-1.1457
ABQ,SAN,116,13,0.1121,1010.6655,89.7255,7.9903,-1.1961
ABQ,SEA,30,3,0.1,1899.0212,160.7407,1.3333,-20.7778
ABQ,SFO,2,2,1.0,1441.9686,,,
ABQ,SLC,60,5,0.0833,793.4046,73.6182,2.2,-7.5636
ABQ,STL,158,24,0.1519,1503.1236,119.903,9.3507,6.5224
ABQ,TPA,30,3,0.1,2409.182,179.3333,4.0,-6.6667
ABQ,TUS,90,9,0.1,516.5981,49.8889,7.037,3.1481
ACT,DFW,222,48,0.2162,143.2313,30.3391,-2.8046,-5.5287
ADQ,ANC,54,7,0.1296,405.5537,41.5957,10.1277,10.4468
ADQ,BET,6,2,0.3333,630.8613,60.25,13.5,23.25
AKN,DLG,30,3,0.1,114.2631,17.5926,0.5556,-1.1111
ALB,ATL,80,10,0.125,1371.1577,120.7143,5.4571,-10.7286
ALB,BOS,86,29,0.3372,233.3543,37.3684,-3.5088,-13.8246
ALB,BWI,194,28,0.1443,463.4899,56.5663,3.3072,0.012
ALB,CLT,60,6,0.1,1039.6336,103.6667,3.2593,2.8889
ALB,CVG,60,7,0.1167,1002.6188,94.2642,2.5283,-3.1887
ALB,DCA,48,47,0.9792,511.7701,60.0,-7.0,2.0
ALB,DTW,129,26,0.2016,785.3579,77.0291,1.9223,-4.9612
ALB,JFK,119,29,0.2437,233.3543,43.5889,-0.2889,-8.5111
ALB,LAS,30,3,0.1,3600.0936,289.7037,3.963,-25.2593
ALB,MCO,78,16,0.2051,1726.8218,154.7705,0.5323,-6.8197
ALB,ORD,179,39,0.2179,1163.5528,108.5286,1.2143,-4.9357
