Origin,Dest,flight_count,cancelled_count,cancellation_rate,avg_distance,avg_air_time,avg_dep_delay,avg_arr_delay
ABE,ATL,61,0,0.0,1113.6633,100.082,7.6557,10.3279
ABE,CLT,31,0,0.0,774.0925,74.2258,-0.129,5.6774
ABE,DTW,50,1,0.02,682.3602,70.3878,-2.102,-7.102
ABE,MCO,62,0,0.0,1458.062,125.7903,-1.7419,-4.7903
ABE,MDT,31,0,0.0,123.9192,20.3871,-0.4194,-4.871
ABE,ORD,119,12,0.1008,1052.5084,101.6729,18.5607,18.3271
ABE,PIT,124,3,0.0242,407.163,48.4876,3.0165,3.1653
ABI,DFW,204,5,0.0245,254.2757,41.5075,0.2261,0.1859
ABQ,AMA,62,0,0.0,445.7872,42.7377,8.871,4.623
ABQ,ATL,91,0,0.0,2042.2525,155.6484,7.044,5.3516
ABQ,BWI,31,0,0.0,2687.5978,202.3871,5.3226,-10.6452
ABQ,CVG,62,0,0.0,1995.5816,152.1129,6.4194,6.629
ABQ,DAL,211,0,0.0,933.4172,80.5667,13.564,9.581
ABQ,DEN,210,6,0.0286,561.6597,54.8128,9.3529,8.2512
ABQ,DFW,217,3,0.0138,915.7145,78.7617,4.6589,4.8972
ABQ,ELP,114,0,0.0,358.8828,37.1316,5.8947,2.5088
ABQ,EWR,4,0,0.0,2904.8587,220.75,17.0,14.75
ABQ,HOU,62,0,0.0,1221.4891,101.6452,13.2258,5.8548
ABQ,IAH,150,0,0.0,1197.349,103.7027,6.3333,3.3108
ABQ,LAS,184,1,0.0054,783.7486,71.0109,7.4208,6.6667
ABQ,LAX,210,1,0.0048,1089.5232,95.3558,9.799,4.1346
ABQ,LBB,61,0,0.0,465.0993,42.6393,5.6393,0.7869
ABQ,MAF,31,0,0.0,534.3009,46.4839,9.6452,6.9677
ABQ,MCI,93,0,0.0,1155.5061,94.913,9.172,5.9022
ABQ,MCO,62,0,0.0,2497.6957,190.3548,2.3226,-16.0484
ABQ,MDW,31,0,0.0,1804.0701,137.129,0.1613,-15.1935
ABQ,MSP,62,0,0.0,1578.7625,131.7258,0.0161,-1.1613
ABQ,OAK,62,0,0.0,1430.7033,124.0,12.7419,9.9677
ABQ,ORD,62,1,0.0161,1799.2421,142.1639,3.7213,6.0
ABQ,PDX,31,0,0.0,1787.9767,148.2258,0.4839,-15.7097
ABQ,PHX,584,5,0.0086,527.8635,57.1952,6.1468,3.0553
ABQ,SAN,124,0,0.0,1010.6655,88.0242,11.4113,5.879
ABQ,SEA,31,0,0.0,1899.0212,165.2667,16.6774,13.5667
ABQ,SFO,5,0,0.0,1441.9686,122.8,1.6,-12.8
ABQ,SLC,60,1,0.0167,793.4046,74.9322,8.0339,4.3051
ABQ,STL,214,1,0.0047,1503.1236,120.4742,4.2441,1.9671
ABQ,TPA,31,0,0.0,2409.182,183.7419,11.2903,-3.4194
ABQ,TUS,92,0,0.0,516.5981,49.5495,4.2174,1.044
ACT,DFW,234,5,0.0214,143.2313,30.9607,4.4454,4.4847
ADQ,ANC,62,4,0.0645,405.5537,42.3276,9.9138,12.4655
AKN,ANC,41,3,0.0732,465.0993,43.9211,7.6316,7.4211
AKN,DLG,2,0,0.0,114.2631,18.0,3.0,2.0
