Origin,Dest,flight_count,cancelled_count,cancellation_rate,avg_distance,avg_air_time,avg_dep_delay,avg_arr_delay
ABE,ATL,59,6,0.1017,1113.6633,99.8491,12.5283,6.6792
ABE,CLT,30,3,0.1,774.0925,75.6667,-4.3704,-0.963
ABE,DTW,47,13,0.2766,682.3602,69.2059,30.0588,20.0294
ABE,MCO,59,10,0.1695,1458.062,128.6939,-0.1224,-4.1633
ABE,MDT,30,3,0.1,123.9192,20.2593,2.1481,-0.6667
ABE,ORD,108,40,0.3704,1052.5084,100.1493,9.9118,6.3731
ABE,PIT,119,23,0.1933,407.163,48.1875,-1.4375,-1.3646
ABI,DFW,197,35,0.1777,254.2757,40.8086,-1.0802,-4.4815
ABQ,AMA,57,7,0.1228,445.7872,40.898,3.92,-1.0408
ABQ,ATL,68,11,0.1618,2042.2525,152.3214,7.4386,7.6786
ABQ,BWI,30,3,0.1,2687.5978,204.8519,9.2593,-11.7778
ABQ,CVG,60,6,0.1,1995.5816,151.9815,1.3148,3.537
ABQ,DAL,201,26,0.1294,933.4172,79.4713,6.0971,0.7759
ABQ,DEN,188,65,0.3457,561.6597,54.122,1.4228,0.0976
ABQ,DFW,210,38,0.181,915.7145,77.1337,4.2849,4.2267
ABQ,ELP,107,12,0.1121,358.8828,36.5579,2.8211,-0.9053
ABQ,EWR,1,0,0.0,2904.8587,217.0,-2.0,-19.0
ABQ,HOU,60,7,0.1167,1221.4891,100.2453,5.2264,-0.3208
ABQ,IAH,142,24,0.169,1197.349,101.4696,0.0254,-1.6261
ABQ,LAS,169,19,0.1124,783.7486,71.2267,3.0667,0.4733
ABQ,LAX,200,22,0.11,1089.5232,96.9266,5.8652,-2.5763
ABQ,LBB,59,7,0.1186,465.0993,42.2885,6.7308,2.5385
ABQ,MAF,30,4,0.1333,534.3009,45.3077,3.4615,-1.3846
ABQ,MCI,87,9,0.1034,1155.5061,94.7308,8.9615,5.1923
ABQ,MCO,60,6,0.1,2497.6957,187.1852,2.037,-10.6481
ABQ,MDW,30,4,0.1333,1804.0701,138.8077,0.5769,-17.8077
ABQ,MSP,60,7,0.1167,1578.7625,132.6604,-3.434,-1.0189
ABQ,OAK,57,7,0.1228,1430.7033,126.24,3.88,-0.98
ABQ,ORD,73,8,0.1096,1799.2421,142.2344,7.4923,8.2344
ABQ,PDX,30,4,0.1333,1787.9767,149.2308,0.3846,-20.5769
ABQ,PHX,558,66,0.1183,527.8635,57.1057,3.6768,-1.3537
ABQ,SAN,117,13,0.1111,1010.6655,89.7788,8.4519,1.8942
ABQ,SEA,30,3,0.1,1899.0212,161.6667,1.7778,-14.8519
ABQ,SFO,4,2,0.5,1441.9686,122.5,3.5,-8.5
ABQ,SLC,58,6,0.1034,793.4046,74.6154,0.8846,-6.8269
ABQ,STL,175,24,0.1371,1503.1236,120.2318,10.0265,7.8609
ABQ,TPA,30,3,0.1,2409.182,181.1481,9.8889,-2.2222
ABQ,TUS,89,9,0.1011,516.5981,49.225,5.8125,1.925
ACT,DFW,226,48,0.2124,143.2313,30.7247,1.073,0.0
ADQ,ANC,54,8,0.1481,405.5537,42.6304,9.3043,11.0217
ADQ,BET,6,2,0.3333,630.8613,60.25,13.5,23.25
AKN,ANC,11,1,0.0909,465.0993,42.8,5.4,2.7
AKN,DLG,22,3,0.1364,114.2631,17.4211,-1.2105,-3.3158
ALB,ATL,88,11,0.125,1371.1577,120.8571,7.8052,-6.7792
ALB,BOS,85,27,0.3176,233.3543,37.0345,-2.0862,-12.1207
ALB,BWI,192,27,0.1406,463.4899,54.3939,3.2727,-1.8909
ALB,CLT,60,6,0.1,1039.6336,102.8333,0.037,-0.0185
ALB,CVG,60,8,0.1333,1002.6188,92.8462,1.9231,-5.5192
ALB,DCA,78,47,0.6026,511.7701,59.9677,-2.7742,-3.0323
ALB,DTW,136,23,0.1691,785.3579,75.9381,5.5487,-1.4071
ALB,JFK,120,29,0.2417,233.3543,43.7143,3.2198,-1.2637
ALB,LAS,30,3,0.1,3600.0936,286.2593,5.3704,-20.5556
ALB,MCO,87,15,0.1724,1726.8218,152.7606,-0.5278,-8.6761
ALB,ORD,182,40,0.2198,1163.5528,108.1277,8.5915,2.5674
ALB,PHL,150,34,0.2267,341.1801,50.4483,4.5172,5.7931
ALB,PIT,120,19,0.1583,590.6278,60.802,1.0,0.5347
AMA,ABQ,57,6,0.1053,445.7872,43.0392,5.4118,1.3137
AMA,DAL,214,28,0.1308,521.4262,50.1559,5.1237,2.5645
AMA,DFW,178,33,0.1854,503.7234,58.6111,5.7931,0.3542
AMA,LAS,30,4,0.1333,1219.8797,104.9615,2.8846,-0.5385
ANC,ADQ,60,10,0.1667,405.5537,42.86,4.54,6.0
ANC,AKN,33,4,0.1212,465.0993,46.3103,8.4138,5.9655
ANC,ATL,10,0,0.0,5499.1148,374.3,4.8,-0.5
ANC,BET,88,12,0.1364,642.1267,60.0658,4.5132,3.4605
ANC,CDV,30,3,0.1,257.4944,32.2963,14.5926,16.8889
ANC,DEN,23,9,0.3913,3872.072,271.0714,9.4286,0.7143
ANC,DLG,12,2,0.1667,529.4729,51.9,-0.2,-3.1
ANC,DUT,51,12,0.2353,1274.5973,111.1282,9.7436,5.7692
ANC,EWR,5,0,0.0,5423.4758,378.4,25.4,22.0
