IATA,flight_count,origin_flight_count,dest_flight_count,avg_flight_time,avg_actual_elapsed_time,avg_scheduled_elapsed_time,avg_air_time,avg_distance,avg_dep_delay,avg_arr_delay,cancelled_origin_count,diverted_origin_count,unique_destinations,unique_origins,unique_connections
ATL,737402.0,368743.0,368659.0,113.49,113.49,113.46,76.42,607.86,8.11,5.29,4253.0,636.0,150.0,150.0,300.0
ORD,733432.0,366705.0,366727.0,128.71,128.71,129.55,103.82,743.22,8.81,7.27,8786.0,624.0,128.0,127.0,255.0
DFW,665349.0,332579.0,332770.0,125.98,125.98,128.1,108.26,750.43,5.76,1.03,4962.0,481.0,135.0,131.0,266.0
LAX,448088.0,223971.0,224117.0,139.99,139.99,142.79,128.6,940.12,3.77,0.6,2564.0,285.0,77.0,74.0,151.0
IAH,370343.0,185182.0,185161.0,130.42,130.42,131.57,106.63,776.75,3.1,2.49,1135.0,226.0,121.0,123.0,244.0
PHX,339794.0,169895.0,169899.0,138.79,138.79,141.57,122.7,919.46,6.54,1.6,1542.0,306.0,71.0,67.0,138.0
EWR,300836.0,150412.0,150424.0,163.26,163.26,161.79,131.86,901.54,6.32,9.67,4484.0,252.0,93.0,94.0,187.0
MSP,289667.0,144836.0,144831.0,136.6,136.6,136.81,112.85,814.23,3.28,0.93,1674.0,255.0,95.0,93.0,188.0
LAS,286350.0,143179.0,143171.0,135.97,135.97,138.72,118.2,902.18,6.4,2.75,1009.0,266.0,75.0,73.0,148.0
DEN,283732.0,141824.0,141908.0,133.39,133.39,135.0,133.51,860.92,4.04,1.22,1711.0,226.0,90.0,86.0,176.0
DTW,279675.0,139844.0,139831.0,116.31,116.31,115.37,92.02,619.93,4.7,1.02,2044.0,232.0,86.0,84.0,170.0
SLC,251192.0,125545.0,125647.0,111.41,111.41,113.17,132.0,652.43,4.42,1.57,1037.0,264.0,71.0,72.0,143.0
SFO,244680.0,122334.0,122346.0,155.68,155.68,158.29,148.76,1076.15,3.58,3.98,1265.0,203.0,61.0,60.0,121.0
BOS,230934.0,115460.0,115474.0,143.45,143.45,144.48,118.97,770.14,5.47,2.57,3636.0,159.0,51.0,51.0,102.0
PHL,217478.0,108742.0,108736.0,150.72,150.72,149.9,122.18,828.68,8.05,5.17,2553.0,193.0,60.0,60.0,120.0
LGA,213461.0,106731.0,106730.0,133.11,133.11,132.96,101.65,661.74,4.71,6.31,4078.0,216.0,41.0,40.0,81.0
SEA,209209.0,104605.0,104604.0,165.98,165.98,168.97,148.53,1152.16,4.95,1.8,1086.0,195.0,54.0,52.0,106.0
CLT,206835.0,103417.0,103418.0,109.54,109.54,110.74,86.16,573.99,5.71,2.54,1396.0,141.0,67.0,67.0,134.0
IAD,206756.0,103386.0,103370.0,130.82,130.82,132.46,104.98,708.24,6.88,2.67,2749.0,149.0,70.0,68.0,138.0
STL,201826.0,100904.0,100922.0,124.76,124.76,127.93,102.12,717.02,3.3,1.95,1256.0,163.0,64.0,64.0,128.0
BWI,198503.0,99255.0,99248.0,123.2,123.2,125.99,104.56,697.36,6.93,3.94,1659.0,123.0,57.0,58.0,115.0
