IATA,lat,lon,flight_count,origin_flight_count,dest_flight_count,avg_flight_time,avg_actual_elapsed_time,avg_scheduled_elapsed_time,avg_air_time,avg_distance,avg_dep_delay,avg_arr_delay,cancelled_origin_count,diverted_origin_count,unique_destinations,unique_origins,unique_connections
ORD,41.979595,-87.90446417,1388214.0,694093.0,694121.0,129.96,129.96,130.98,105.26,1216.27,7.84,5.53,15285.0,1104.0,132.0,130.0,262.0
DFW,32.89595056,-97.0372,1228058.0,613878.0,614180.0,129.08,129.08,131.45,108.28,1235.17,5.61,1.01,8413.0,884.0,139.0,135.0,274.0
ATL,33.64044444,-84.42694444,1201228.0,600671.0,600557.0,116.82,116.82,116.45,84.2,1029.34,7.9,5.82,6794.0,950.0,150.0,150.0,300.0
LAX,33.94253611,-118.4080744,812923.0,406372.0,406551.0,147.16,147.16,150.62,131.84,1617.66,4.29,0.75,4480.0,510.0,78.0,76.0,154.0
PHX,33.43416667,-112.0080556,687674.0,343837.0,343837.0,136.54,136.54,140.27,118.53,1453.29,6.93,1.57,3444.0,569.0,72.0,68.0,140.0
IAH,29.98047222,-95.33972222,609715.0,304859.0,304856.0,138.12,138.12,138.55,113.04,1347.36,3.25,2.37,1801.0,353.0,121.0,123.0,244.0
MSP,44.88054694,-93.2169225,572741.0,286376.0,286365.0,137.09,137.09,137.29,112.53,1310.3,4.31,0.91,3469.0,488.0,99.0,96.0,195.0
DTW,42.21205889,-83.34883583,561032.0,280525.0,280507.0,117.33,117.33,117.14,92.66,1006.1,6.76,1.17,4261.0,502.0,89.0,87.0,176.0
LAS,36.08036111,-115.1523333,547541.0,273773.0,273768.0,132.56,132.56,135.88,113.76,1409.5,6.89,3.65,1880.0,480.0,76.0,73.0,149.0
DEN,39.85840806,-104.6670019,524394.0,262098.0,262296.0,135.1,135.1,136.83,125.5,1415.76,4.34,1.35,2417.0,386.0,91.0,87.0,178.0
EWR,40.69249722,-74.16866056,505660.0,252828.0,252832.0,173.3,173.3,172.89,142.44,1584.34,5.28,6.48,5857.0,395.0,93.0,94.0,187.0
STL,38.74768694,-90.35998972,466983.0,233469.0,233514.0,124.66,124.66,127.31,101.3,1150.43,4.0,1.71,2522.0,352.0,72.0,70.0,142.0
BOS,42.3643475,-71.00517917,450606.0,225280.0,225326.0,145.73,145.73,147.21,121.38,1271.77,5.27,1.21,5763.0,317.0,52.0,53.0,105.0
SFO,37.61900194,-122.3748433,443136.0,221622.0,221514.0,166.28,166.28,169.11,152.1,1890.61,3.75,4.31,2083.0,345.0,63.0,61.0,124.0
PHL,39.87195278,-75.24114083,433418.0,216498.0,216920.0,148.18,148.18,148.62,119.88,1307.66,7.4,4.2,4483.0,358.0,60.0,60.0,120.0
CLT,35.21401111,-80.94312583,428356.0,214164.0,214192.0,107.41,107.41,109.23,84.06,901.33,5.54,2.05,2423.0,223.0,69.0,69.0,138.0
SEA,47.44898194,-122.3093131,410374.0,205189.0,205185.0,167.2,167.2,170.43,148.49,1870.16,5.63,3.01,2060.0,392.0,55.0,53.0,108.0
LGA,40.77724306,-73.87260917,400576.0,200292.0,200284.0,132.3,132.3,133.72,102.06,1073.8,4.6,4.58,6191.0,421.0,47.0,46.0,93.0
SLC,40.78838778,-111.9777731,391241.0,195569.0,195672.0,119.28,119.28,121.28,124.37,1165.01,4.65,2.52,1457.0,389.0,71.0,72.0,143.0
BWI,39.17540167,-76.66819833,372217.0,186111.0,186106.0,121.99,121.99,124.69,103.72,1108.43,7.89,4.15,2434.0,233.0,58.0,60.0,118.0
MCO,28.42888889,-81.31602778,349297.0,174656.0,174641.0,143.71,143.71,146.87,123.88,1438.11,5.0,3.61,908.0,360.0,65.0,65.0,130.0
SAN,32.73355611,-117.1896567,315258.0,157650.0,157608.0,125.24,125.24,127.91,107.17,1306.42,4.29,2.7,1441.0,255.0,45.0,43.0,88.0
CVG,39.04614278,-84.6621725,308357.0,154181.0,154176.0,120.53,120.53,119.9,94.84,1062.24,5.9,3.73,2784.0,292.0,87.0,87.0,174.0
DCA,38.85208333,-77.03772222,296738.0,148384.0,148354.0,109.23,109.23,109.99,87.6,899.85,2.11,1.9,3751.0,231.0,44.0,37.0,81.0
IAD,38.94453194,-77.45580972,295629.0,147821.0,147808.0,147.24,147.24,148.53,122.05,1352.23,6.15,2.01,3340.0,221.0,73.0,71.0,144.0
PIT,40.49146583,-80.23287083,292570.0,146493.0,146077.0,120.1,120.1,120.65,97.49,1057.22,4.18,1.88,1685.0,213.0,59.0,59.0,118.0
MDW,41.7859825,-87.75242444,276552.0,138276.0,138276.0,117.95,117.95,121.15,98.92,1111.43,8.87,3.38,1640.0,348.0,50.0,50.0,100.0
CLE,41.41089417,-81.84939667,269341.0,134678.0,134663.0,112.66,112.66,112.66,89.85,951.36,3.5,4.06,1877.0,209.0,69.0,68.0,137.0
TPA,27.97547222,-82.53325,257960.0,128990.0,128970.0,130.59,130.59,133.01,111.71,1276.16,5.0,4.02,699.0,253.0,54.0,53.0,107.0
OAK,37.72129083,-122.2207167,257627.0,128812.0,128815.0,109.23,109.23,112.94,100.06,1111.57,6.74,4.02,1051.0,167.0,38.0,32.0,70.0
JFK,40.63975111,-73.77892556,249862.0,124927.0,124935.0,217.07,217.07,220.16,176.77,2177.82,6.95,2.85,2122.0,257.0,50.0,46.0,96.0
MIA,25.79325,-80.29055556,249095.0,124529.0,124566.0,166.98,166.98,169.37,140.11,1659.94,6.79,4.37,883.0,262.0,43.0,44.0,87.0
