IATA,lat,lon,flight_count,origin_flight_count,dest_flight_count,avg_flight_time,avg_actual_elapsed_time,avg_scheduled_elapsed_time,avg_air_time,avg_distance,avg_dep_delay,avg_arr_delay,cancelled_origin_count,diverted_origin_count,unique_destinations,unique_origins,unique_connections
ORD,41.979595,-87.90446417,2914600.0,1450942.0,1463658,135.76,135.76,136.65,114.62,1335.06,9.82,6.7,33789.0,3647.0,112.0,112,224.0
DFW,32.89595056,-97.0372,2579693.0,1285342.0,1294351,139.84,139.84,139.89,119.0,1402.75,9.72,6.02,20100.0,2737.0,97.0,97,194.0
ATL,33.64044444,-84.42694444,2329125.0,1164605.0,1164520,108.7,108.7,108.35,87.26,974.71,10.1,9.19,14397.0,1900.0,107.0,108,215.0
LAX,33.94253611,-118.4080744,1714595.0,857958.0,856637,153.8,153.8,155.19,134.43,1731.87,8.87,8.61,15093.0,1392.0,64.0,60,124.0
STL,38.74768694,-90.35998972,1631787.0,815041.0,816746,114.66,114.66,115.57,92.23,1031.47,9.14,6.67,17738.0,1647.0,80.0,82,162.0
PHX,33.43416667,-112.0080556,1524571.0,761251.0,763320,114.29,114.29,114.83,98.71,1169.6,8.19,7.16,7473.0,1329.0,58.0,59,117.0
DTW,42.21205889,-83.34883583,1450655.0,722379.0,728276,109.35,109.35,110.44,87.29,938.81,9.49,4.86,17127.0,1682.0,81.0,81,162.0
DEN,39.85840806,-104.6670019,1400708.0,697719.0,702989,133.89,133.89,134.97,112.82,1391.91,9.0,7.05,8006.0,1723.0,87.0,85,172.0
MSP,44.88054694,-93.2169225,1324398.0,660241.0,664157,125.01,125.01,125.47,102.88,1192.15,7.55,4.6,14919.0,1873.0,95.0,95,190.0
CLT,35.21401111,-80.94312583,1278854.0,638512.0,640342,90.58,90.58,91.16,73.29,746.69,8.35,4.7,10022.0,1058.0,91.0,91,182.0
SFO,37.61900194,-122.3748433,1275459.0,638820.0,636639,156.78,156.78,158.19,135.12,1766.93,9.9,9.56,10501.0,1187.0,57.0,55,112.0
PIT,40.49146583,-80.23287083,1238865.0,618648.0,620217,99.87,99.87,100.91,83.26,861.55,8.36,5.71,12076.0,1098.0,99.0,99,198.0
EWR,40.69249722,-74.16866056,1161994.0,580496.0,581498,158.93,158.93,157.9,136.0,1414.27,11.02,12.11,19049.0,1441.0,75.0,77,152.0
IAH,29.98047222,-95.33972222,1146610.0,573103.0,573507,130.4,130.4,131.6,111.37,1317.53,6.68,5.7,5754.0,1178.0,78.0,78,156.0
LAS,36.08036111,-115.1523333,1074393.0,537295.0,537098,110.46,110.46,110.9,94.45,1125.84,7.99,7.57,4150.0,1133.0,59.0,57,116.0
LGA,40.77724306,-73.87260917,994349.0,497669.0,496680,134.52,134.52,135.63,109.98,1158.74,7.11,6.55,14757.0,1244.0,59.0,58,117.0
PHL,39.87195278,-75.24114083,968301.0,484396.0,483905,129.3,129.3,129.4,110.46,1161.93,8.42,6.92,11318.0,1060.0,70.0,70,140.0
BOS,42.3643475,-71.00517917,958418.0,480029.0,478389,149.14,149.14,149.77,130.64,1332.16,9.29,9.71,17229.0,1285.0,53.0,54,107.0
SEA,47.44898194,-122.3093131,865896.0,433415.0,432481,160.44,160.44,161.12,139.2,1775.12,7.46,8.61,5015.0,1074.0,45.0,44,89.0
DCA,38.85208333,-77.03772222,859132.0,430377.0,428755,106.94,106.94,107.75,86.89,878.78,5.67,5.88,13528.0,823.0,47.0,45,92.0
SLC,40.78838778,-111.9777731,794014.0,396891.0,397123,121.07,121.07,120.93,99.72,1223.17,9.24,8.12,4067.0,858.0,55.0,57,112.0
MCO,28.42888889,-81.31602778,778263.0,389634.0,388629,134.46,134.46,135.46,119.29,1309.62,7.21,7.43,3632.0,973.0,68.0,70,138.0
CVG,39.04614278,-84.6621725,774820.0,387548.0,387272,110.99,110.99,110.25,93.75,1014.48,8.8,6.78,6951.0,796.0,78.0,76,154.0
MIA,25.79325,-80.29055556,694688.0,347496.0,347192,164.44,164.44,164.93,144.18,1646.41,8.28,7.85,3977.0,1226.0,53.0,52,105.0
SAN,32.73355611,-117.1896567,640692.0,321129.0,319563,119.62,119.62,120.84,104.64,1254.51,6.64,7.1,3578.0,623.0,37.0,36,73.0
CLE,41.41089417,-81.84939667,640108.0,319951.0,320157,104.16,104.16,104.57,88.47,893.44,6.5,6.49,5672.0,812.0,52.0,51,103.0
BWI,39.17540167,-76.66819833,634194.0,317052.0,317142,111.89,111.89,113.18,97.57,989.93,7.73,6.51,5555.0,703.0,55.0,56,111.0
HOU,29.64541861,-95.27888889,562518.0,280303.0,282215,75.95,75.95,77.42,64.23,684.34,7.25,5.21,4197.0,611.0,31.0,33,64.0
MCI,39.29760528,-94.71390556,559625.0,280314.0,279311,102.73,102.73,103.15,85.5,961.75,7.09,7.27,3340.0,610.0,39.0,41,80.0
OAK,37.72129083,-122.2207167,537687.0,269003.0,268684,89.53,89.53,90.96,74.85,845.36,6.3,5.77,3184.0,454.0,24.0,25,49.0
TPA,27.97547222,-82.53325,524092.0,262484.0,261608,124.76,124.76,125.83,111.42,1211.63,7.3,8.54,2431.0,734.0,47.0,48,95.0
MEM,35.04241667,-89.97666667,512209.0,255785.0,256424,103.05,103.05,104.43,84.27,928.53,6.32,2.91,3732.0,659.0,51.0,51,102.0
BNA,36.12447667,-86.67818222,489746.0,244631.0,245115,97.99,97.99,98.88,81.41,862.94,6.31,4.55,2590.0,523.0,57.0,57,114.0
MSY,29.99338889,-90.25802778,466755.0,233966.0,232789,101.78,101.78,102.41,87.29,972.08,5.99,6.73,2185.0,566.0,40.0,39,79.0
PDX,45.58872222,-122.5975,462021.0,231311.0,230710,131.82,131.82,132.06,114.72,1416.07,7.5,8.57,2075.0,446.0,35.0,35,70.0
DAL,32.84711389,-96.85177222,455204.0,227065.0,228139,57.56,57.56,59.03,47.19,459.99,7.6,5.31,3791.0,283.0,14.0,14,28.0
MDW,41.7859825,-87.75242444,430900.0,215369.0,215531,71.01,71.01,72.24,58.06,574.62,8.22,5.99,3379.0,867.0,28.0,29,57.0
JFK,40.63975111,-73.77892556,430083.0,214916.0,215167,237.68,237.68,238.12,210.39,2447.12,10.93,9.24,4047.0,543.0,48.0,48,96.0
SJC,37.36186194,-121.9290089,410448.0,205653.0,204795,119.48,119.48,120.77,101.98,1239.62,5.17,5.24,1767.0,309.0,27.0,26,53.0
CMH,39.99798528,-82.89188278,398222.0,199462.0,198760,98.58,98.58,98.8,83.29,861.27,8.18,8.57,3753.0,506.0,36.0,36,72.0
SAT,29.53369444,-98.46977778,377232.0,189211.0,188021,86.04,86.04,86.81,72.64,779.3,5.24,6.18,1654.0,278.0,25.0,29,54.0
ONT,34.056,-117.6011944,373835.0,187482.0,186353,99.98,99.98,101.41,84.11,985.58,4.89,6.11,2360.0,288.0,24.0,24,48.0
RDU,35.87763889,-78.78747222,366567.0,182928.0,183639,97.88,97.88,98.57,81.93,804.19,5.88,4.94,2693.0,457.0,47.0,50,97.0
ABQ,35.04022222,-106.6091944,365687.0,183326.0,182361,94.68,94.68,95.5,79.58,910.17,6.29,6.55,1306.0,468.0,27.0,28,55.0
IND,39.71732917,-86.29438417,364998.0,182883.0,182115,94.93,94.93,95.61,78.55,819.23,6.64,7.11,2602.0,428.0,40.0,41,81.0
FLL,26.07258333,-80.15275,355037.0,177835.0,177202,131.45,131.45,132.46,116.37,1278.14,8.57,9.22,1598.0,753.0,38.0,38,76.0
IAD,38.94453194,-77.45580972,350777.0,175313.0,175464,168.98,168.98,169.52,147.75,1687.27,8.53,6.83,3553.0,414.0,50.0,50,100.0
AUS,30.19453278,-97.66987194,348766.0,174831.0,173935,81.38,81.38,81.82,69.47,703.28,5.37,5.88,2243.0,263.0,28.0,27,55.0
SNA,33.67565861,-117.8682225,343686.0,172211.0,171475,128.92,128.92,129.31,110.77,1336.55,4.92,5.5,2267.0,368.0,29.0,30,59.0
SMF,38.69542167,-121.5907669,337111.0,168842.0,168269,104.8,104.8,106.29,89.03,1077.44,6.51,6.89,1583.0,263.0,21.0,22,43.0
BUR,34.20061917,-118.3584969,281483.0,141004.0,140479,75.13,75.13,76.95,60.79,645.57,5.28,5.57,1601.0,271.0,14.0,15,29.0
ELP,31.80666667,-106.3778056,270521.0,135535.0,134986,86.68,86.68,87.85,73.18,844.84,5.66,5.77,833.0,270.0,18.0,18,36.0
BDL,41.93887417,-72.68322833,261847.0,131324.0,130523,130.36,130.36,131.32,115.86,1175.85,5.58,6.78,2505.0,440.0,35.0,36,71.0
GSO,36.09774694,-79.9372975,242356.0,121107.0,121249,83.14,83.14,82.93,68.44,643.37,6.97,7.28,2551.0,323.0,32.0,31,63.0
PBI,26.68316194,-80.09559417,231433.0,116014.0,115419,137.72,137.72,138.4,121.74,1353.33,7.37,9.3,1126.0,421.0,31.0,31,62.0
SDF,38.17438889,-85.736,228934.0,114723.0,114211,74.76,74.76,75.12,60.41,571.59,6.75,7.78,1550.0,258.0,29.0,28,57.0
OKC,35.39308833,-97.60073389,221460.0,111172.0,110288,79.8,79.8,79.81,67.19,685.28,5.51,6.89,1064.0,197.0,15.0,14,29.0
RNO,39.49857611,-119.7680647,219997.0,110167.0,109830,88.9,88.9,90.08,74.04,841.79,6.96,7.53,953.0,200.0,19.0,19,38.0
TUL,36.19837222,-95.88824167,208759.0,104713.0,104046,79.14,79.14,79.72,65.68,656.68,6.0,7.86,1098.0,186.0,15.0,16,31.0
BUF,42.94052472,-78.73216667,205954.0,103237.0,102717,76.87,76.87,77.51,62.69,570.34,6.89,7.33,2595.0,205.0,25.0,23,48.0
SJU,18.43941667,-66.00183333,202705.0,101892.0,100813,212.36,212.36,212.36,195.15,2345.12,8.13,9.76,1292.0,320.0,25.0,25,50.0
