Origin,Dest,flight_count,cancelled_count,cancellation_rate,avg_distance,avg_air_time,avg_dep_delay,avg_arr_delay
ABE,ATL,62,0,0.0,1113.6633,99.0645,2.2581,7.6935
ABE,CLT,31,0,0.0,774.0925,72.4839,-0.0323,4.3871
ABE,DTW,50,1,0.02,682.3602,70.2449,-3.0612,-5.7755
ABE,MCO,62,0,0.0,1458.062,124.5968,2.1613,-1.7097
ABE,MDT,31,0,0.0,123.9192,20.0645,-1.5806,-6.3548
ABE,ORD,124,9,0.0726,1052.5084,99.7652,18.3217,16.3043
ABE,PIT,124,3,0.0242,407.163,48.3554,5.0826,5.2231
ABI,DFW,209,2,0.0096,254.2757,41.8937,0.6135,0.3043
ABQ,AMA,62,0,0.0,445.7872,43.4839,8.7419,5.3871
ABQ,ATL,92,1,0.0109,2042.2525,158.978,7.1978,7.9011
ABQ,BWI,31,0,0.0,2687.5978,204.9677,5.4839,-10.5161
ABQ,CVG,61,1,0.0164,1995.5816,152.3833,13.75,13.35
ABQ,DAL,213,0,0.0,933.4172,82.1509,11.5962,9.2311
ABQ,DEN,217,5,0.023,561.6597,54.7204,9.5613,8.3128
ABQ,DFW,217,4,0.0184,915.7145,79.1651,5.1033,5.4057
ABQ,ELP,116,0,0.0,358.8828,37.431,6.931,4.0
ABQ,EWR,4,0,0.0,2904.8587,225.25,16.0,22.75
ABQ,HOU,62,0,0.0,1221.4891,104.0806,13.9839,9.1129
ABQ,IAH,155,0,0.0,1197.349,105.0581,2.5806,-0.0323
ABQ,LAS,186,1,0.0054,783.7486,69.8054,7.8054,5.8595
ABQ,LAX,213,1,0.0047,1089.5232,93.6651,9.1745,1.9811
ABQ,LBB,62,0,0.0,465.0993,43.1774,8.8387,4.5484
ABQ,MAF,31,0,0.0,534.3009,47.8065,13.129,11.3871
ABQ,MCI,93,0,0.0,1155.5061,95.8478,11.9892,9.4457
ABQ,MCO,62,0,0.0,2497.6957,193.5645,2.9839,-11.7258
ABQ,MDW,27,0,0.0,1804.0701,139.0741,-0.2222,-13.7407
ABQ,MSP,62,0,0.0,1578.7625,132.2419,2.2258,-0.5968
ABQ,OAK,62,0,0.0,1430.7033,122.3387,17.5,12.6452
ABQ,ORD,62,1,0.0161,1799.2421,143.8689,3.8033,7.1148
ABQ,PDX,31,0,0.0,1787.9767,146.0968,0.4516,-18.2581
ABQ,PHX,596,6,0.0101,527.8635,57.0847,7.5525,4.7407
ABQ,SAN,124,0,0.0,1010.6655,86.5081,10.0403,2.7823
ABQ,SEA,31,0,0.0,1899.0212,163.5333,17.7097,15.2
ABQ,SFO,4,0,0.0,1441.9686,122.75,15.25,-0.5
ABQ,SLC,62,0,0.0,793.4046,72.6774,7.8871,2.0968
ABQ,STL,217,2,0.0092,1503.1236,122.493,3.1814,2.5814
