Origin,Dest,flight_count,avg_distance,avg_air_time,avg_dep_delay,avg_arr_delay
ABE,ATL,364,1113.66,12.46,11.02,9.66
ABE,CLE,788,545.57,60.37,-3.16,-1.77
ABE,CLT,602,774.09,81.17,-0.68,7.04
ABE,DTW,1438,682.36,76.33,2.0,2.3
ABE,HPN,1,152.89,40.0,-4.0,0.0
ABE,IAD,1459,257.49,44.3,2.59,0.46
ABE,ORD,496,1052.51,106.65,10.82,6.37
ABE,PIT,1013,407.16,47.89,-1.94,-2.67
ABI,CLL,1,374.98,,87.0,
ABI,DFW,4648,254.28,39.52,-0.46,-1.38
ABI,IAH,317,494.07,165.22,8.4,-2.09
ABQ,AMA,1382,445.79,41.78,9.59,7.8
ABQ,ATL,1605,2042.25,153.15,2.59,1.09
ABQ,BWI,730,2687.6,196.64,6.31,-4.46
ABQ,CVG,1453,1995.58,149.2,4.95,4.99
ABQ,DAL,4099,933.42,78.87,7.28,2.45
ABQ,DEN,4342,561.66,60.5,0.85,-1.44
ABQ,DFW,5954,915.71,91.46,2.25,0.59
ABQ,ELP,2619,358.88,37.92,8.05,5.85
ABQ,GJT,2,482.8,,3.0,
ABQ,HOU,1459,1221.49,99.43,7.31,2.73
ABQ,IAH,3368,1197.35,102.66,-1.23,-1.59
ABQ,IDA,1,1050.9,,3.0,
ABQ,LAS,4071,783.75,74.75,7.79,4.03
ABQ,LAX,5003,1089.52,98.49,6.27,-3.09
ABQ,LBB,1389,465.1,41.98,6.7,4.25
ABQ,MAF,730,534.3,46.58,4.71,2.39
ABQ,MCI,2112,1155.51,92.37,7.57,1.58
ABQ,MCO,1456,2497.7,183.22,4.75,-4.51
ABQ,MDW,731,1804.07,136.22,2.9,-10.24
ABQ,MSP,1544,1578.76,129.95,1.41,-0.05
ABQ,OAK,1431,1430.7,129.5,6.8,0.82
ABQ,OKC,1,820.76,,7.0,
ABQ,ORD,1377,1799.24,138.05,3.64,2.02
ABQ,PDX,730,1787.98,153.43,3.35,-7.61
ABQ,PHX,13032,527.86,56.38,5.45,-0.58
ABQ,SAN,2870,1010.67,92.51,7.02,0.53
ABQ,SEA,730,1899.02,167.47,5.38,-2.27
ABQ,SLC,2970,793.4,138.87,6.31,4.4
ABQ,STL,3250,1503.12,117.57,2.96,-0.41
ABQ,TPA,730,2409.18,176.97,10.16,0.82
ABQ,TUS,1777,516.6,50.62,7.5,5.14
ABY,ATL,1448,234.96,34.93,5.93,4.67
ABY,MCN,1,138.4,18.0,-2.0,0.0
ACK,EWR,193,350.84,56.45,7.21,8.18
ACT,DFW,4617,143.23,30.45,-2.56,-4.21
ACT,IAH,509,255.89,79.47,9.52,-1.71
ACV,CEC,672,90.12,17.47,4.44,-3.58
ACV,SFO,2688,402.34,153.28,11.44,9.7
ACV,SMF,667,333.13,57.6,2.12,-4.32
ACY,BOS,132,440.96,49.95,1.12,-14.46
ADK,AKN,73,1470.94,116.82,19.49,9.97
ADK,ANC,1,1918.33,155.0,-6.0,9.0
ADQ,ANC,1452,405.55,39.41,7.56,5.84
AEX,ABI,1,685.58,131.0,0.0,70.0
AEX,ATL,487,804.67,49.2,11.24,5.46
AEX,AUS,1,505.33,90.0,-5.0,40.0
AEX,BTR,2,159.32,21.0,0.0,-3.0
AEX,DFW,881,458.66,58.47,4.46,-2.86
AEX,GTR,427,440.96,55.78,7.45,-1.89
AEX,IAH,1456,305.77,38.09,1.02,1.15
AEX,ILE,1,490.85,98.0,-5.0,11.0
AEX,JAN,2,257.49,30.5,0.0,0.0
AEX,LFT,1,135.18,31.0,0.0,0.0
AEX,MSY,1,265.54,30.0,0.0,0.0
AEX,SHV,1,173.81,117.0,11.0,2.0
AGS,ATL,3150,230.14,38.26,6.57,6.54
AGS,CAE,1,101.39,18.0,-1.0,-13.0
AGS,CHA,1,350.84,76.0,0.0,23.0
AGS,CHS,1,186.68,,,
