IATA,City,Airport,Clean_Name
BHM,Birmingham,Birmingham–Shuttlesworth International Airport,Birmingham-Shuttlesworth International Airport
DHN,Dothan,Dothan Regional Airport,Dothan Regional Airport
HSV,Huntsville,Huntsville International Airport (Carl T. Jones Field),Huntsville International Airport
MOB,Mobile,Mobile Regional Airport,Mobile Regional Airport
MGM,Montgomery,Montgomery Regional Airport (Dannelly Field),Montgomery Regional Airport
MRI,Anchorage,Merrill Field,Merrill Field
ANC,Anchorage,Ted Stevens Anchorage International Airport,Ted Stevens Anchorage International Airport
BET,Bethel,Bethel Airport (also see Bethel Seaplane Base),Bethel Airport
CDV,Cordova,Merle K. (Mudhole) Smith Airport,Merle K.  Smith Airport
SCC,Deadhorse,Deadhorse Airport (Prudhoe Bay Airport),Deadhorse Airport
DLG,Dillingham,Dillingham Airport,Dillingham Airport
FAI,Fairbanks,Fairbanks International Airport,Fairbanks International Airport
GST,Gustavus,Gustavus Airport,Gustavus Airport
HOM,Homer,Homer Airport,Homer Airport
JNU,Juneau,Juneau International Airport,Juneau International Airport
ENA,Kenai,Kenai Municipal Airport,Kenai Municipal Airport
KTN,Ketchikan,Ketchikan International Airport,Ketchikan International Airport
AKN,King Salmon,King Salmon Airport,King Salmon Airport
KLW,Klawock,Klawock Airport (also see Klawock Seaplane Base),Klawock Airport
ADQ,Kodiak,Kodiak Airport (Benny Benson State Airport),Kodiak Airport
OTZ,Kotzebue,Ralph Wien Memorial Airport,Ralph Wien Memorial Airport
OME,Nome,Nome Airport,Nome Airport
PSG,Petersburg,Petersburg James A. Johnson Airport,Petersburg James A. Johnson Airport
SIT,Sitka,Sitka Rocky Gutierrez Airport,Sitka Rocky Gutierrez Airport
DUT,Unalaska,Unalaska Airport (Tom Madsen/Dutch Harbor Airport),Unalaska Airport
BRW,Utqiaġvik (Barrow),Wiley Post–Will Rogers Memorial Airport,Wiley Post-Will Rogers Memorial Airport
WRG,Wrangell,Wrangell Airport (also see Wrangell Seaplane Base),Wrangell Airport
YAK,Yakutat,Yakutat Airport (also see Yakutat Seaplane Base),Yakutat Airport
FLG,Flagstaff,Flagstaff Pulliam Airport,Flagstaff Pulliam Airport
AZA,Mesa,Mesa Gateway Airport (formerly Williams AFB),Mesa Gateway Airport
PGA,Page,Page Municipal Airport,Page Municipal Airport
PHX,Phoenix,Phoenix Sky Harbor International Airport,Phoenix Sky Harbor International Airport
PRC,Prescott,Prescott Municipal Airport (Ernest A. Love Field),Prescott Municipal Airport
TUS,Tucson,Tucson International Airport,Tucson International Airport
YUM,Yuma,Yuma International Airport / MCAS Yuma,Yuma International Airport / MCAS Yuma
XNA,Fayetteville,Northwest Arkansas National Airport,Northwest Arkansas National Airport
FSM,Fort Smith,Fort Smith Regional Airport,Fort Smith Regional Airport
LIT,Little Rock,Bill and Hillary Clinton National Airport (Adams Field) (was Little Rock National),Bill and Hillary Clinton National Airport
TXK,Texarkana,Texarkana Regional Airport (Webb Field),Texarkana Regional Airport
ACV,Arcata/Eureka,California Redwood Coast–Humboldt County Airport,California Redwood Coast-Humboldt County Airport
BFL,Bakersfield,Meadows Field,Meadows Field
BUR,Burbank,Hollywood Burbank Airport,Hollywood Burbank Airport
FAT,Fresno,Fresno Yosemite International Airport,Fresno Yosemite International Airport
LGB,Long Beach,Long Beach Airport (Daugherty Field),Long Beach Airport
LAX,Los Angeles,Los Angeles International Airport,Los Angeles International Airport
MRY,Monterey,Monterey Regional Airport,Monterey Regional Airport
OAK,Oakland,Oakland San Francisco Bay Airport,Oakland San Francisco Bay Airport
ONT,Ontario,Ontario International Airport,Ontario International Airport
PSP,Palm Springs,Palm Springs International Airport,Palm Springs International Airport
RDD,Redding,Redding Regional Airport,Redding Regional Airport
SMF,Sacramento,Sacramento International Airport,Sacramento International Airport
SAN,San Diego,San Diego International Airport,San Diego International Airport
SFO,San Francisco,San Francisco International Airport,San Francisco International Airport
SJC,San Jose,San Jose International Airport,San Jose International Airport
SBP,San Luis Obispo,San Luis Obispo County Regional Airport (McChesney Field),San Luis Obispo County Regional Airport
SNA,Santa Ana,John Wayne Airport,John Wayne Airport
SBA,Santa Barbara,Santa Barbara Municipal Airport (Santa Barbara Airport),Santa Barbara Municipal Airport
SMX,Santa Maria,Santa Maria Public Airport (Capt G. Allan Hancock Field),Santa Maria Public Airport
STS,Santa Rosa,Charles M. Schulz–Sonoma County Airport,Charles M. Schulz-Sonoma County Airport
SCK,Stockton,Stockton Metropolitan Airport,Stockton Metropolitan Airport
ALS,Alamosa,San Luis Valley Regional Airport (Bergman Field),San Luis Valley Regional Airport
