IATA,lat,lon,flight_count,origin_flight_count,dest_flight_count,avg_flight_time,avg_actual_elapsed_time,avg_scheduled_elapsed_time,avg_air_time,avg_distance,avg_dep_delay,avg_arr_delay,cancelled_origin_count,diverted_origin_count,unique_destinations,unique_origins,unique_connections
ORD,41.979595,-87.90446417,63005,31507,31498,134.68,134.68,134.57,106.17,1244.56,16.28,12.08,1558,81,107,106,213
DFW,32.89595056,-97.0372,56164,28072,28092,133.51,133.51,135.47,107.62,1244.25,11.29,5.7,783,86,111,112,223
ATL,33.64044444,-84.42694444,45281,22644,22637,121.68,121.68,122.97,95.27,1108.52,10.3,7.14,684,56,93,93,186
LAX,33.94253611,-118.4080744,41842,20916,20926,155.15,155.15,156.56,132.51,1654.0,8.12,7.13,373,38,64,63,127
PHX,33.43416667,-112.0080556,32766,16384,16382,133.85,133.85,134.96,112.86,1365.72,10.09,5.99,258,33,66,66,132
STL,38.74768694,-90.35998972,29382,14690,14692,119.56,119.56,121.51,96.24,1104.4,6.86,2.98,209,55,72,72,144
DTW,42.21205889,-83.34883583,27338,13669,13669,118.92,118.92,120.37,92.42,1031.02,9.04,3.87,250,35,76,76,152
MSP,44.88054694,-93.2169225,27017,13504,13513,139.73,139.73,140.86,111.92,1324.61,8.48,3.28,211,49,83,83,166
BOS,42.3643475,-71.00517917,25344,12674,12670,148.74,148.74,150.63,118.96,1285.06,15.25,11.54,877,29,48,49,97
DEN,39.85840806,-104.6670019,25060,12530,12530,140.74,140.74,141.03,118.18,1465.07,13.46,8.11,184,46,58,58,116
LAS,36.08036111,-115.1523333,23960,11979,11981,128.42,128.42,130.0,107.47,1315.04,11.54,7.18,116,40,64,64,128
CLT,35.21401111,-80.94312583,23383,11691,11692,104.97,104.97,105.53,81.31,872.81,8.9,6.79,261,20,70,69,139
IAH,29.98047222,-95.33972222,23333,11666,11667,151.1,151.1,150.42,124.27,1508.5,7.78,6.04,122,32,73,72,145
SFO,37.61900194,-122.3748433,23187,11595,11592,181.75,181.75,183.23,156.48,2056.02,9.56,11.42,309,35,46,46,92
EWR,40.69249722,-74.16866056,22898,11451,11447,189.19,189.19,189.25,148.43,1746.2,14.03,16.69,464,31,61,62,123
LGA,40.77724306,-73.87260917,21582,10790,10792,135.08,135.08,141.6,98.02,1082.41,14.52,16.15,706,41,42,43,85
PHL,39.87195278,-75.24114083,21203,10599,10604,147.47,147.47,146.89,113.87,1280.36,14.1,16.04,459,28,57,57,114
