IATA,lat,lon,flight_count,origin_flight_count,dest_flight_count,avg_flight_time,avg_actual_elapsed_time,avg_scheduled_elapsed_time,avg_air_time,avg_distance,avg_dep_delay,avg_arr_delay,cancelled_origin_count,diverted_origin_count,unique_destinations,unique_origins,unique_connections
ORD,41.979595,-87.90446417,54380,27200,27180,123.74,123.74,131.41,102.28,1211.72,8.4,-0.51,6498,58,107,106,213
DFW,32.89595056,-97.0372,48296,24132,24164,126.77,126.77,133.02,104.67,1209.47,12.6,3.0,5269,48,110,111,221
ATL,33.64044444,-84.42694444,39678,19857,19821,117.23,117.23,123.86,95.25,1098.4,8.67,-3.67,3609,58,95,95,190
LAX,33.94253611,-118.4080744,34908,17450,17458,146.49,146.49,150.56,127.72,1599.08,6.34,-1.72,3764,21,60,60,120
PHX,33.43416667,-112.0080556,30000,15001,14999,127.16,127.16,133.69,108.88,1351.35,7.01,-0.61,2275,33,66,66,132
STL,38.74768694,-90.35998972,26217,13105,13112,114.44,114.44,119.87,93.65,1069.54,4.09,-0.88,1774,30,71,71,142
DTW,42.21205889,-83.34883583,23597,11792,11805,110.89,110.89,116.37,88.45,979.34,6.04,-1.75,2390,39,75,76,151
LAS,36.08036111,-115.1523333,22728,11364,11364,123.94,123.94,129.97,105.61,1325.41,6.55,-0.64,1785,17,65,65,130
MSP,44.88054694,-93.2169225,21857,10930,10927,133.42,133.42,137.2,110.14,1303.64,5.96,-0.37,2113,44,81,81,162
DEN,39.85840806,-104.6670019,21030,10517,10513,135.51,135.51,139.76,115.92,1456.41,6.17,0.62,2742,19,58,58,116
BOS,42.3643475,-71.00517917,20705,10342,10363,146.09,146.09,149.15,124.27,1247.81,8.88,-3.53,3508,35,48,49,97
IAH,29.98047222,-95.33972222,20181,10081,10100,145.54,145.54,147.71,121.15,1479.12,1.68,-1.74,1980,32,70,70,140
CLT,35.21401111,-80.94312583,20110,10065,10045,103.85,103.85,106.38,82.5,870.28,2.92,-1.2,2432,18,70,69,139
SFO,37.61900194,-122.3748433,19003,9502,9501,176.06,176.06,178.19,155.12,2000.45,8.09,1.91,2326,13,44,44,88
PHL,39.87195278,-75.24114083,18648,9323,9325,142.58,142.58,147.3,116.92,1272.23,6.58,1.54,2214,40,55,56,111
EWR,40.69249722,-74.16866056,18279,9137,9142,171.96,171.96,182.81,146.79,1680.19,3.92,-3.42,2418,33,58,58,116
LGA,40.77724306,-73.87260917,17474,8733,8741,129.75,129.75,140.0,106.15,1074.33,3.91,-7.42,3065,12,40,40,80
PIT,40.49146583,-80.23287083,16592,8290,8302,110.45,110.45,113.05,90.53,967.78,4.21,-1.07,1883,18,65,65,130
BWI,39.17540167,-76.66819833,16226,8113,8113,115.32,115.32,121.33,98.85,1087.48,7.93,2.28,1327,28,52,52,104
SEA,47.44898194,-122.3093131,15758,7884,7874,168.07,168.07,171.63,149.03,1873.4,6.59,2.72,1637,22,46,45,91
MCO,28.42888889,-81.31602778,15342,7662,7680,139.29,139.29,147.35,120.65,1411.99,4.17,-0.81,1447,25,56,56,112
SAN,32.73355611,-117.1896567,13059,6529,6530,122.7,122.7,124.77,105.15,1267.95,7.29,1.32,1324,8,34,34,68
SLC,40.78838778,-111.9777731,12056,6024,6032,130.2,130.2,135.46,108.63,1341.27,5.68,-2.22,838,16,47,48,95
SJC,37.36186194,-121.9290089,11242,5626,5616,121.17,121.17,128.89,102.94,1254.2,8.41,1.48,1068,11,30,30,60
MIA,25.79325,-80.29055556,10976,5487,5489,150.86,150.86,157.05,127.32,1474.35,13.17,6.18,1177,24,40,40,80
TPA,27.97547222,-82.53325,10697,5342,5355,124.01,124.01,131.08,107.38,1246.58,3.17,-0.21,978,19,47,47,94
OAK,37.72129083,-122.2207167,10499,5249,5250,100.93,100.93,106.9,87.15,1013.53,4.4,1.51,814,15,25,25,50
CVG,39.04614278,-84.6621725,10435,5212,5223,130.64,130.64,134.88,108.54,1232.52,7.61,-1.54,952,22,58,58,116
