IATA,lat,lon,flight_count,origin_flight_count,dest_flight_count,avg_flight_time,avg_actual_elapsed_time,avg_scheduled_elapsed_time,avg_air_time,avg_distance,avg_dep_delay,avg_arr_delay,cancelled_origin_count,diverted_origin_count,unique_destinations,unique_origins,unique_connections
ORD,41.979595,-87.90446417,56783,28402,28381,127.64,127.64,132.48,103.5,1221.43,11.09,4.19,6817,64,108,107,215
DFW,32.89595056,-97.0372,50326,25145,25181,130.36,130.36,134.0,105.86,1222.71,12.86,4.42,5280,60,110,111,221
ATL,33.64044444,-84.42694444,41399,20716,20683,117.85,117.85,123.66,94.92,1096.26,9.39,-0.16,3673,67,96,96,192
LAX,33.94253611,-118.4080744,37304,18650,18654,149.13,149.13,152.18,128.93,1615.53,6.62,1.52,3804,23,63,63,126
PHX,33.43416667,-112.0080556,30472,15238,15234,129.26,129.26,134.87,110.57,1369.69,7.11,-0.32,2300,32,66,66,132
STL,38.74768694,-90.35998972,26417,13204,13213,117.45,117.45,121.15,95.45,1087.28,5.29,0.64,1773,34,72,72,144
DTW,42.21205889,-83.34883583,24565,12281,12284,113.17,113.17,116.82,88.82,986.34,7.96,1.92,2381,50,75,75,150
LAS,36.08036111,-115.1523333,23269,11636,11633,126.53,126.53,131.45,107.54,1345.06,6.68,0.19,1788,17,64,64,128
MSP,44.88054694,-93.2169225,22952,11471,11481,135.77,135.77,137.43,111.02,1307.08,7.07,1.04,2116,51,79,79,158
BOS,42.3643475,-71.00517917,22214,11098,11116,147.11,147.11,150.35,122.87,1263.7,8.89,0.16,3457,43,48,49,97
DEN,39.85840806,-104.6670019,22037,11021,11016,137.79,137.79,140.31,117.56,1462.22,7.52,1.25,2785,26,58,58,116
CLT,35.21401111,-80.94312583,21651,10829,10822,104.5,104.5,106.11,82.28,870.85,3.85,0.75,2446,19,70,69,139
IAH,29.98047222,-95.33972222,20749,10371,10378,148.54,148.54,149.06,122.79,1488.2,6.15,2.87,1982,35,72,72,144
SFO,37.61900194,-122.3748433,20437,10220,10217,179.59,179.59,179.45,157.16,2015.16,6.89,0.33,2397,14,46,46,92
EWR,40.69249722,-74.16866056,19734,9864,9870,177.77,177.77,185.09,147.53,1702.28,7.41,5.47,2469,41,63,63,126
PHL,39.87195278,-75.24114083,19530,9765,9765,143.33,143.33,147.45,115.95,1275.25,7.52,5.1,2277,41,56,56,112
LGA,40.77724306,-73.87260917,18822,9400,9422,132.24,132.24,140.4,103.49,1075.19,7.18,1.99,3074,24,41,42,83
PIT,40.49146583,-80.23287083,17551,8770,8781,110.2,110.2,112.13,89.42,960.6,4.62,0.87,1888,19,67,67,134
SEA,47.44898194,-122.3093131,17161,8584,8577,170.9,170.9,172.73,150.92,1881.0,6.84,2.87,1659,22,47,47,94
BWI,39.17540167,-76.66819833,16729,8368,8361,116.69,116.69,122.66,99.75,1106.68,7.47,3.02,1320,34,51,51,102
MCO,28.42888889,-81.31602778,16208,8102,8106,141.09,141.09,147.67,121.13,1415.66,5.55,1.09,1463,33,55,55,110
SAN,32.73355611,-117.1896567,13642,6821,6821,124.83,124.83,126.81,106.5,1293.0,6.06,2.84,1292,10,34,34,68
DCA,38.85208333,-77.03772222,12943,6482,6461,106.51,106.51,109.68,83.38,844.59,1.58,0.59,4054,23,41,41,82
SLC,40.78838778,-111.9777731,12363,6180,6183,131.68,131.68,135.92,109.74,1347.9,6.5,-1.36,860,17,47,48,95
MIA,25.79325,-80.29055556,11692,5848,5844,153.3,153.3,157.53,128.2,1480.72,13.85,8.03,1166,31,40,41,81
SJC,37.36186194,-121.9290089,11620,5815,5805,125.99,125.99,131.9,107.1,1300.68,8.22,2.7,1089,10,30,30,60
